review_id,ulasan,rating,tanggal,produk,varian
SHP100501877087,"Kenyamanan:nyaman
Bahan:bagus
Desain:oke

Pesan nya 4 warna 
Warna maroon,putih,hitam,dan coklat
Tapi yang datang malah hitam 2 coklat dan maroon yang putih ngga ada",3,2026-06-12,Produk-1481,"mahogany,M"
SHP100537776733,Desain:saya harap pesanan ku di kirim kembli dengn warna sesuai di tunggu!!,2,2026-06-14,Produk-1481,"mahogany,M"
SHP100653031096,Barang yg di kirimkan rusak kecewa bnget,1,2026-06-16,Produk-1481,"Putih,M"
SHP100696712896,"Kenyamanan:nyaman
Bahan:bagus kok
Desain:bagus

Cuman bolong dikitt sayang banget 🥲",3,2026-06-16,Produk-1481,"maroon,M"
SHP101462760140,"Tekstur:ada noda putih2 di baju,tetus saya beli warna mahogany",1,2026-06-21,Produk-1481,"mahogany,S"
SHP101605610896,"Tolong kalo mau kirim di cek dulu dong. 
Overall bagus",3,2026-06-22,Produk-1481,"Hitam,S"
SHP101889462575,"jelek njs psen Mahogany yg dtg item di cht kaga jwb,mksdny apaan dh nysl beli dsni",1,2026-06-24,Produk-1481,"mahogany,M"
SHP102869055011,"Kenyamanan:nyamn sekali di pakai
Bahan:agak tipis TPI dingin bnget sya suka
Desain:desain cukup rapi cocok untuk sehari""",3,2026-07-01,Produk-1481,"Hitam,S"
SHP103096572152,"Kenyamanan:baju bagus
Bahan:bahan adem strecing
Desain:bagus

pink 3, coklat 2, harusnya ini malah sebaliknya aku pesen baju banyak, trus dia salah kirim 1
aku gamasalah dia salah kirim 1, sudah ku komplain cht admin malah gada respon sama sekali, sudah 1 minggu loh nungguin balasan, minimal balas minta maaf atau apa kek, ini malah di cuekin, yg tdi nya mau ikhlasin malah kesel krna seller gada respon samsek.",1,2026-07-02,Produk-1481,"mahogany,L"
SHP103098506420,"Kenyamanan:nyaman+presbody suka
Bahan:bahan tipis
Desain:robek sedikit gtau knp pdhl br dtg",3,2026-07-02,Produk-1481,"Putih,M"
SHP103725035041,"kecewa sih sama toko ini order nya yang warna coklat yang dateng malah warna hitam gk sesuai bangett, padahal sebelum nya saya pernah chekout baju di toko ini dan yang dateng sesuai warna hitam,dan saya chekout ke dua kali nya malah yang dateng warna hitam lagi padahal saya chekout nya warna coklat😕",1,2026-07-06,Produk-1481,"mahogany,S"
SHP104747325346,"Kenyamanan:Nyaman dipakai
Bahan:bahan bagus
Desain:desain cukup rapi

saya ga tau kenapa mungkin ada kesalahan, saya ordernya yang warna putih, tapi yang dateng malah warna hitam",3,2026-07-14,Produk-1481,"Putih,L"
